angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[825, 166, 292, 369]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[825, 166, 292, 369]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[829, 167, 290, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 290, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 290, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[841, 183, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 281, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[842, 182, 280, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[842, 182, 281, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 185, 279, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 184, 280, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[837, 190, 290, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[837, 190, 291, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[837, 190, 291, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 189, 277, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 190, 290, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 192, 276, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 276, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 276, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[848, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[848, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[848, 192, 279, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 190, 278, 337]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[847, 189, 279, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 188, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[848, 190, 279, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 190, 279, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 191, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 190, 281, 340]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[847, 190, 281, 340]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 191, 280, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 191, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[833, 161, 295, 378]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 161, 296, 379]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 161, 296, 379]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 192, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 278, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 279, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 279, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 279, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 190, 281, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 190, 282, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[835, 164, 296, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[835, 164, 296, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[835, 164, 296, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[835, 164, 296, 376]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[835, 164, 296, 376]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[839, 168, 291, 374]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 168, 291, 374]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 168, 291, 374]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 164, 294, 376]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[838, 164, 294, 376]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[841, 165, 294, 376]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 164, 294, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[842, 181, 298, 353]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[843, 179, 299, 356]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[844, 179, 298, 356]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[840, 163, 295, 378]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[840, 163, 295, 378]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[840, 163, 295, 378]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[838, 161, 297, 382]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[838, 161, 297, 382]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[854, 187, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[854, 188, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[854, 188, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 186, 288, 346]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 187, 286, 345]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 185, 285, 346]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 187, 284, 344]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 187, 284, 344]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 181, 287, 350]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 181, 287, 351]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 168, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 168, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 168, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"[840, 200, 280, 349]",0.0,0.05,0.0,0.87,0.06,0.01
0.01,"[840, 201, 280, 348]",0.0,0.05,0.0,0.88,0.05,0.01
0.01,"[837, 199, 282, 351]",0.0,0.06,0.0,0.86,0.06,0.01
0.01,"[838, 199, 281, 351]",0.0,0.05,0.0,0.86,0.06,0.01
0.01,"[838, 199, 281, 351]",0.0,0.05,0.0,0.86,0.06,0.01
0.01,"[815, 178, 299, 382]",0.0,0.02,0.0,0.86,0.1,0.0
0.01,"[815, 177, 299, 384]",0.0,0.02,0.0,0.87,0.1,0.0
0.02,"[819, 185, 293, 379]",0.0,0.03,0.0,0.73,0.21,0.0
0.02,"[817, 181, 295, 384]",0.0,0.02,0.0,0.75,0.2,0.0
0.03,"[821, 201, 292, 361]",0.0,0.08,0.0,0.65,0.24,0.0
0.08,"[823, 202, 290, 362]",0.0,0.14,0.0,0.48,0.29,0.01
0.09,"[823, 203, 290, 361]",0.0,0.15,0.0,0.47,0.28,0.01
0.03,"[818, 182, 296, 381]",0.0,0.06,0.0,0.48,0.42,0.01
0.03,"[818, 182, 296, 381]",0.0,0.06,0.0,0.48,0.42,0.01
0.03,"[818, 182, 296, 381]",0.0,0.06,0.0,0.48,0.42,0.01
0.07,"[818, 183, 295, 379]",0.0,0.09,0.0,0.37,0.43,0.03
0.07,"[818, 184, 295, 378]",0.0,0.11,0.0,0.36,0.43,0.03
0.08,"[818, 186, 295, 376]",0.0,0.1,0.0,0.28,0.45,0.08
0.09,"[818, 187, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.09
0.09,"[818, 187, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.09
0.1,"[818, 185, 296, 377]",0.0,0.1,0.0,0.29,0.43,0.08
0.07,"[820, 181, 300, 384]",0.0,0.08,0.0,0.46,0.34,0.05
0.11,"[819, 185, 294, 375]",0.0,0.08,0.0,0.31,0.43,0.06
0.11,"[819, 185, 294, 375]",0.0,0.08,0.0,0.32,0.43,0.06
0.11,"[819, 185, 294, 375]",0.0,0.08,0.0,0.32,0.43,0.06
0.12,"[819, 185, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.06
0.1,"[818, 185, 295, 376]",0.0,0.12,0.0,0.28,0.44,0.06
0.15,"[819, 184, 295, 374]",0.0,0.09,0.0,0.29,0.41,0.06
0.15,"[818, 184, 296, 374]",0.0,0.08,0.0,0.31,0.42,0.04
0.15,"[818, 184, 296, 374]",0.0,0.08,0.0,0.31,0.42,0.04
0.16,"[819, 183, 295, 375]",0.0,0.08,0.0,0.32,0.39,0.04
0.16,"[818, 183, 296, 375]",0.0,0.08,0.0,0.33,0.39,0.04
0.14,"[819, 183, 296, 375]",0.0,0.08,0.0,0.38,0.35,0.04
0.15,"[819, 183, 296, 375]",0.0,0.08,0.0,0.37,0.35,0.04
0.15,"[819, 183, 296, 375]",0.0,0.08,0.0,0.37,0.35,0.04
0.14,"[820, 184, 295, 374]",0.0,0.09,0.0,0.36,0.37,0.04
0.14,"[820, 184, 295, 374]",0.0,0.09,0.0,0.36,0.37,0.04
0.16,"[820, 184, 294, 374]",0.0,0.09,0.0,0.35,0.37,0.04
0.15,"[820, 184, 295, 374]",0.0,0.09,0.0,0.31,0.41,0.04
0.12,"[820, 184, 295, 376]",0.0,0.09,0.0,0.36,0.37,0.05
